Current program,Year of study,Program level,Sex,Ethnicity,Age group,Preferred learning style,Used ChatGPT for learning purposes,"How often  ChatGPT is used for educational
purposes",ChatGPT usage purposes,ChatGPT usage hours per week,Satisfaction with the quality of responses by ChatGPT,"How helpful ChatGPT in improving the
understanding of course material","Improvement of marks
since using ChatGPT for personalized learning","Level of confidence in understanding of
subjects after using ChatGPT","Sample situations where
ChatGPT significantly aided learning","Used any features of ChatGPT that tailor
responses to  learning preferences or
styles","If yes, how effective are the tailored
responses in enhancing comprehension and
knowledge acquisition","Feel that personalized responses from
ChatGPT have improved grades or academic
performance","Improvements to suggest for ChatGPT
to better support learning","Think that integrating ChatGPT more deeply into
the curriculum would benefit students","Features that would like to be seen in ChatGPT to
enhance  personalized learning capabilities","Additional comments or suggestions regarding
the use of ChatGPT in learning process"
Business,First,Diploma,Female,Asian,25-34,Visual,Yes,Rarely,Understanding concepts,Less than 1 hour,Satisfied,Helpful,No change,Neutral,It is useful when I look for words that sometimes I cannot express,No,,Agree,includes up to date info without paying a fee or subscription,Neutral,,"if college will allow it, create a policy to what extent chatgpt can be used in academic requirements"
Business,Second,Postgraduate,Female,Asian,18-24,Visual,Yes,Monthly,"Homework assistance, Project research, Assignments, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,"doing an assignment when I did not understand a concept, chatgpt explanation was really helpful",No,,Agree,,Strongly Agree,if the content is directly respondent with course material,
Business,Second,Postgraduate,Male,Asian,18-24,Visual,Yes,Monthly,"Understanding concepts, Tutoring or extra help",Less than 1 hour,Very satisfied,Helpful,No change,Confident,"during a project in international marketing - Japan marketing café-lululemon, I got many insights not easily available on internet",Yes,Effective,Neutral,"analyze images and videos, provide responses in table (colored)",Neutral,document scanning and audio recognition search,"overall, it is good. But don’t be too dependent as it will lead to lack of critical thinking skills"
Business,Second,Diploma,Male,Asian,25-34,Visual,Yes,Weekly,"Understanding concepts, Tutoring or extra help, Exam Preparation",1 to 3 hours,Very satisfied,Helpful,"Yes, slight improvement",Confident,understanding stats,No,,Agree,step by step solutions in detail,Agree,flowcharts learning,maybe can solve excel graph
Business,First,Diploma,Male,Asian,18-24,Visual,Yes,Daily,"Understanding concepts, Project research, Assignments, Exam Preparation",1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,I was doing some research based work so I put the content on chatgpt it gave me all the results that I needed,Yes,Effective,Strongly Agree,no improvement maybe increase upload limit for AI humanizer,Strongly Agree,,
Business,First,Diploma,Male,Asian,25-34,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,search materials to support research,No,,Agree,free charge,Agree,,
Business,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research",Less than 1 hour,Satisfied,Helpful,No change,Confident,to understand the concepts behind difficult problems,Yes,Effective,Agree,"it would be good, if it is up to date",Agree,,
Business,Second,Bachelors,Female,Asian,18-24,Visual,Yes,Weekly,Understanding concepts,Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,"when a text is given or ther eis an article that you need to read, they tend to use very complex words that makes it hard to understand what they are trying to say, chatgpt helps explain what the article is saying",No,,Neutral,when finding articles for topics for your paper it gives outdated websites or articles,Neutral,I think that the only thing that chatgpt should enhance is using newer references,
Business,Second,Postgraduate,Female,Asian,35-44,Visual,Yes,Rarely,Other,Less than 1 hour,Dissatisfied,Unhelpful,No change,Not confident,when trying to look for alternative words,No,,Disagree,avoid providing redundant or similar responses,Strongly disagree,,
Business,Third,Diploma,Male,Asian,18-24,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,I didn’t know the use of a context and it helped give an example on how it was applied,Yes,Effective,Agree,,Strongly Agree,,
Business,First,Diploma,Male,African,Prefer not to say,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Exam Preparation",Less than 1 hour,Satisfied,Very Helpful,"Yes, slight improvement",Confident,I use d it to gain insight while doing a class group project,No,,Agree,,Strongly Agree,,
Business,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Weekly,Understanding concepts,1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,modifying concepts in understanding and easy form,Yes,Effective,Agree,provide more visualization and representation og diagrams for more understanding,Agree,providing ppt presentations,
Business,First,Postgraduate,Female,Hispanic/Latino,25-34,Visual,Yes,Monthly,Tutoring or extra help,Less than 1 hour,Neutral,Helpful,No change,Neutral,helps me sometimes to be creative and have guidance,No,Neutral,Agree,give more details and provide available and confident sources,Neutral,,
Business,Second,Diploma,Female,Asian,45-54,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Tutoring or extra help, Exam Preparation",More than 5 hours,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,understand more context of academic terminology,Yes,Effective,Agree,,Strongly Agree,graphic,
Business,Second,Postgraduate,Female,Asian,45-54,Visual,Yes,Monthly,Other,Less than 1 hour,Dissatisfied,Unhelpful,No change,Not confident,,No,,Neutral,reliable sourcing of data,Neutral,,use with caution
Business,Second,Diploma,Male,Asian,45-54,Visual,Yes,Weekly,Understanding concepts,Less than 1 hour,Neutral,Helpful,No change,Neutral,,No,,Neutral,,Agree,"graphs, illustration",formality
Business,Second,Diploma,Male,Asian,25-34,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Exam Preparation",Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Confident,I wasn’t present in class so I used gpt to understand the concept taught that day,Yes,Neutral,Neutral,incorporate material from books,Agree,adaptive learning,
Business,First,Postgraduate,Male,African,45-54,Visual,Yes,Rarely,Tutoring or extra help,Less than 1 hour,Satisfied,Neutral,No change,Neutral,,No,,Neutral,,Disagree,,
Business,Second,Diploma,Female,Asian,25-34,Visual,Yes,Weekly,"Understanding concepts, Project research, Tutoring or extra help, Exam Preparation",1 to 3 hours,Very satisfied,Helpful,No change,Neutral,help me find the reference its help,Yes,Effective,Neutral,ppt graphic support,Agree,graphic design,
Business,First,Diploma,Female,hispanic/Latino,45-54,Visual,Yes,Weekly,Tutoring or extra help,1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,learn G Sigma,No,,Agree,be more specific,Neutral,,
Business,First,Postgraduate,Male,Asian,25-34,Visual,No,,,,,,,,,,,,,,,
Business,First,Postgraduate,Male,Hispanic/Latino,25-34,Visual,Yes,Rarely,"Understanding concepts, Project research",Less than 1 hour,Dissatisfied,Unhelpful,No change,Neutral,just for gathering info quicker,No,,Disagree,needs better trainig on how to do fact check,Disagree,,
Business,First,Postgraduate,Female,Prefer not to say,25-34,Visual,Yes,Daily,"Understanding concepts, Project research, Exam Preparation",1 to 3 hours,Very satisfied,Helpful,"Yes, slight improvement",Confident,I used to understand one of the chapter. Chatgpt helped to give summary,Yes,Effective,Agree,,Agree,integrating to courses,
Business,Second,Diploma,Female,Asian,35-44,Visual,Yes,Rarely,"Understanding concepts, Homework assistance",Less than 1 hour,Satisfied,Helpful,No change,Neutral,understanding accounting concepts,No,,Neutral,,Agree,,
Business,First,Postgraduate,Male,Asian,25-34,Visual,No,,,,,,,,,,,,,,,
Business,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Assignments, Class lecture and notes, Exam Preparation",Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Confident,when I couldn’t understand a concept,Yes,Effective,Neutral,,Agree,,
Business,Second,Diploma,Female,Asian,35-44,Visual,Yes,Weekly,Understanding concepts,1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,simplified complicated text,No,,Agree,chatgpt has limited date specially when it comes to laws,Agree,enhancement,
Business,Second,Diploma,Female,White/Caucasian,35-44,Visual,Yes,Weekly,"Homework assistance, Project research, Exam Preparation",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Confident,summarizing long book chapters,No,,Agree,,Neutral,,
Business,First,Postgraduate,Female,Hispanic/Latino,35-44,Visual,Yes,Daily,"Project research, Assignments",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Not confident,,Yes,Neutral,Agree,free for everyone,Agree,charts and presentations,
Business,Second,Postgraduate,Female,White/Caucasian,35-44,Visual,Yes,Rarely,Tutoring or extra help,Less than 1 hour,Neutral,Neutral,No change,Neutral,,No,,Disagree,,Disagree,,
Business,Second,Diploma,Female,African,25-34,Visual,Yes,Monthly,"Understanding concepts, Homework assistance, Assignments",Less than 1 hour,Satisfied,Helpful,No change,Confident,when I had to create a table of contents for a paper,No,,Agree,getting more accurate information,Agree,,
Business,Second,Diploma,Male,Asian,25-34,Visual,Yes,Weekly,Understanding concepts,1 to 3 hours,Satisfied,Very Helpful,"Yes, significant improvement",Confident,,No,,Neutral,,Agree,,
Business,First,Diploma,Female,Prefer not to say,Prefer not to say,Visual,Yes,Rarely,Understanding concepts,Less than 1 hour,Neutral,Neutral,No change,Neutral,to get ideas for attempting difficult assignment,No,,Neutral,it should provide answers in the simplest way,Agree,,
Business,Second,Postgraduate,Female,Asian,18-24,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Exam Preparation",Less than 1 hour,Neutral,Neutral,"Yes, slight improvement",Confident,,No,,Agree,,Strongly Agree,being specific in research,
Business,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Daily,Understanding concepts,Less than 1 hour,Very satisfied,Very Helpful,No change,Very confident,I could understand the concept of microeconomy class so I ask chatgpt to help me,Yes,Very effective,Neutral,,Strongly Agree,,
Business,First,Postgraduate,Female,hispanic/Latino,35-34,Visual,Yes,Weekly,"Understanding concepts, Tutoring or extra help",1 to 3 hours,Neutral,Helpful,No change,Neutral,,No,,Disagree,,Agree,,
Business,Second,Postgraduate,Female,African,18-24,Visual,Yes,Weekly,Homework assistance,Less than 1 hour,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,understanding concepts,Yes,Effective,Neutral,options for different formats,Strongly Agree,,
Business,First,Postgraduate,Female,Prefer not to say,Prefer not to say,Visual,Yes,Rarely,"Homework assistance, Assignments, Exam Preparation",Less than 1 hour,Neutral,Neutral,No change,Not confident,while doing research project just to get basic ideas,No,,Disagree,more specific and brief answers,Strongly Agree,,
Business,First,Postgraduate,Female,Hispanic/Latino,45-54,Visual,No,Rarely,"Understanding concepts, Homework assistance, Assignments",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,to clarify concepts of marketing,No,,Neutral,more research,Agree,deeper concepts,
Business,Third,Postgraduate,Female,Asian,18-24,Visual,Yes,Rarely,Tutoring or extra help,Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Confident,,No,,Neutral,,Agree,,
Business,Second,Postgraduate,Female,Asian,18-24,Visual,Yes,Rarely,Understanding concepts,Less than 1 hour,Neutral,Neutral,No change,Neutral,,No,,Neutral,,Neutral,,
Business,First,Postgraduate,Female,African,45-54,Visual,No,,,,,,,,,,,,,,,
Business,First,Certificate,Female,hispanic/Latino,18-24,Visual,Yes,Weekly,Project research,1 to 3 hours,Neutral,Very Helpful,"Yes, significant improvement",Neutral,,Yes,Neutral,Neutral,,Neutral,,
Business,Third,Bachelors,Male,Asian,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,studying and helping with assignments,Yes,Effective,Neutral,,Neutral,making it more accessible,
Business,Second,Diploma,Female,Asian,18-24,Visual,No,,,,,,,,,,,,,,,
Business,First,Diploma,Female,Asian,18-24,Visual,Yes,Rarely,"Homework assistance, Assignments",Less than 1 hour,Neutral,Neutral,No change,Neutral,I was stuck on a problem in accounts and it helped me,No,,Disagree,,Disagree,,
Business,First,Postgraduate,Female,Asian,25-34,Visual,Yes,Monthly,"Understanding concepts, Project research, Assignments",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,,No,,Agree,,Agree,,
Business,Fourth,Postgraduate,Female,Asian,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,"If I don’t understand a concept, I'll put it on chatgpt and ask it to explain me in simple words",Yes,Neutral,Neutral,,Agree,been able to help with more complex graphs or nummericals,
Business,First,Diploma,Female,Hispanic/Latino,18-24,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Confident,I use it when I have doubt about something,No,,Neutral,no pay a subscription,Neutral,,
Business,First,Diploma,Male,White/Caucasian,18-24,Visual,Yes,Rarely,"Understanding concepts, Homework assistance, Project research, Tutoring or extra help",Less than 1 hour,Satisfied,Helpful,No change,Confident,,No,,Disagree,,Neutral,,
Business,Second,Diploma,Male,White/Caucasian,18-24,Visual,Yes,Rarely,Understanding concepts,Less than 1 hour,Satisfied,Neutral,No change,Neutral,,No,,Neutral,,Neutral,,
Business,First,Diploma,Female,Asian,18-24,Visual,Yes,Weekly,"Understanding concepts, Project research, Assignments, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,understand how to record accounting (adjusting entrie),Yes,Effective,Agree,,Agree,,
Business,Second,Diploma,Female,Asian,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,"during accounting exams, provides me practice questions",No,,Agree,make it free,Agree,,
Business,First,Diploma,Female,Asian,18-24,Visual,Yes,Rarely,Tutoring or extra help,Less than 1 hour,Satisfied,Very Helpful,"Yes, slight improvement",Confident,it help me in solving mathematical problems,No,,Agree,,Neutral,,
Business,First,Diploma,Male,White/Caucasian,18-24,Visual,Yes,Monthly,"Assignments, Exam Preparation",Less than 1 hour,Satisfied,Helpful,No change,Neutral,,No,,Neutral,,Disagree,,
Business,First,Diploma,Female,Asian,18-24,Visual,Yes,Rarely,Tutoring or extra help,Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Neutral,while researching,No,,Neutral,,Neutral,,
Business,First,Diploma,Male,Asian,18-24,Visual,Yes,Weekly,"Understanding concepts, Tutoring or extra help",Less than 1 hour,Neutral,Neutral,No change,Neutral,"knowing some business concept, ideas that I am unfamiliar with",No,,Neutral,in math,Neutral,,
Business,First,Diploma,Male,Asian,18-24,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help, Exam Preparation",Less than 1 hour,Dissatisfied,Helpful,No change,Neutral,knowing meaning of some business terms that I was unfamiliar with,No,,Neutral,it should be more specific with problems and require more accuracy particularly related to maths problems,Strongly disagree,adding pictures and charts,
Business,Second,Bachelors,Male,Asian,18-24,Visual,Yes,Monthly,"Understanding concepts, Assignments",Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Confident,,Yes,Effective,Agree,,Strongly Agree,learning styles,
Business,First,Postgraduate,Female,Asian,18-24,Visual,Yes,Weekly,Understanding concepts,1 to 3 hours,Neutral,Neutral,"Yes, slight improvement",Neutral,,No,,Neutral,,Agree,,
Business,Fourth,Certificate,Male,Asian,25-34,Visual,Yes,Rarely,Homework assistance,Less than 1 hour,Dissatisfied,Neutral,No change,Not confident,step by step instructions,No,,Disagree,chatgpt always does its math incorrectly,Agree,audio,
Business,Third,Bachelors,Male,Asian,18-24,Visual,Yes,Weekly,"Homework assistance, Project research",1 to 3 hours,Satisfied,Helpful,No change,Neutral,summarizing big topics,No,,Neutral,,Agree,,
Business,First,Diploma,Female,Asian,18-24,Visual,Yes,Weekly,"Project research, Tutoring or extra help",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,terms definition or new concepts,No,,Neutral,,Agree,,
Business,Second,Diploma,Female,Asian,35-44,Visual,Yes,Monthly,Understanding concepts,Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,,Yes,Effective,Agree,provide accurate answers,Strongly Agree,,make it free
Marketing,First,Postgraduate,Female,Asian,25-34,Visual,Yes,Daily,Understanding concepts,Less than 1 hour,Satisfied,Very Helpful,"Yes, slight improvement",Confident,make me understand the concepts of assignments and help me summarize,No,,Disagree,,Agree,create a basic logo or templates,
Marketing,First,Diploma,Female,Asian,18-24,Visual,No,Never,,,,,,,,,,,,,,
Marketing,Second,Bachelors,Female,Pacific Islander,18-24,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Assignments",Less than 1 hour,Neutral,Neutral,No change,Confident,research papers/finding relevant data,No,,Neutral,"accuracy improvement, making it all free, accessible",Disagree,more math focused stuff,
Hospitality Management,First,Diploma,Male,Asian,18-24,Visual,Yes,Monthly,"Understanding concepts, Project research, Tutoring or extra help",Less than 1 hour,Neutral,Neutral,"Yes, slight improvement",Neutral,"preparing outlines/prompts for ppt, reports, concepts/keywords from a specific field",No,,Neutral,"proof check, accuracy of calculations/infos",Strongly Agree,,
Hospitality Management,Second,Diploma,Female,Asian,35-44,Visual,Yes,Weekly,Understanding concepts,1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,I used chatgpt for to get better understanding of some learning points,No,,Agree,if it can create images too,Agree,,
Finance,Third,Bachelors,Female,Asian,25-34,Visual,No,Never,,,,,,,,,,,,Disagree,not take over the world,
Accounting,Second,Postgraduate,Female,Hispanic/Latino,35-44,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Class lecture and notes, Other",1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,"Explaining concepts, provide examples, translate information",Yes,Effective,Agree,accuracy,Neutral,,
Accounting,Fourth,Diploma,Prefer not to say,White/Caucasian,18-24,Visual,No,Never,,,,,,,,,,,,Strongly disagree,,"It really has no place, the current environmental cost are too large for it to even be considered"
Accounting,Second,Diploma,Prefer not to say,White/Caucasian,25-34,Visual,No,Never,,,,,,,,,,,,Strongly disagree,,
Accounting,Third,Bachelors,Female,Asian,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,,Yes,Very effective,Strongly Agree,,Strongly Agree,,
Accounting,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Monthly,"Understanding concepts, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Helpful,No change,Neutral,When understanding some terms and concepts with examples,No,,Neutral,,Neutral,,
Accounting,First,Diploma,Female,Asian,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help",Less than 1 hour,Satisfied,Neutral,No change,Neutral,research paper,Yes,Very effective,Agree,,Strongly Agree,,
Accounting,First,Bachelors,Female,Asian,18-24,Visual,Yes,Weekly,Understanding concepts,Less than 1 hour,Very satisfied,Very Helpful,No change,Confident,helping me find synonyms to write paragraphs better,No,Neutral,Neutral,better finance help! Doesn’t show steps properly,Agree,,
Accounting,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Weekly,Project research,Less than 1 hour,Satisfied,Helpful,No change,Neutral,,No,,Neutral,,Neutral,,
Accounting,Second,Bachelors,Female,Asian,18-24,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Tutoring or extra help",Less than 1 hour,Neutral,Neutral,No change,Neutral,it helps me paraphrasing words into simple words so I can understand better,No,,Neutral,,Neutral,,
Accounting,Second,Postgraduate,Male,African,25-34,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,understanding formulas,Yes,Effective,Agree,more experts in different fields,Strongly disagree,less errors with numbers,reading out loud to chatgpt and chatgpt writing it at the same time
Accounting,Second,Diploma,Female,Asian,35-44,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,,Yes,Neutral,Neutral,,Agree,,
Accounting,Second,Diploma,Female,Pacific Islander,25-34,Visual,Yes,Weekly,Exam Preparation,1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,,No,,Agree,,Agree,,
Accounting,Third,Diploma,Male,Prefer not to say,18-24,Visual,Yes,Weekly,"Understanding concepts, Assignments, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,,No,,Agree,,Neutral,,
Accounting,First,Diploma,Female,Asian,18-24,Visual,Yes,Weekly,"Understanding concepts, Project research, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,finding the core information and understanding,No,,Neutral,"if chatgpt don’t know, just say don’t know, don’t make up things",Agree,,
Accounting,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Weekly,"Understanding concepts, Project research",Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Neutral,,No,,Agree,,Agree,,
Accounting,First,Postgraduate,Female,Asian,35-44,Visual,Yes,Daily,"Understanding concepts, Homework assistance",1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Neutral,,Yes,Neutral,Neutral,,Neutral,more accounting - T-accounts,
Accounting,Second,Diploma,Male,Asian,18-24,Visual,Yes,Rarely,"Understanding concepts, Homework assistance, Assignments, Exam Preparation",Less than 1 hour,Satisfied,Very Helpful,No change,Neutral,It helped me to understand concepts and putting me in the correct direction,No,,Neutral,"have clear instructions, not glitching out after asking question",Strongly Agree,cater to my learning styles of studying,
Accounting,Second,Postgraduate,Female,Prefer not to say,18-24,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Very Helpful,"Yes, significant improvement",Very confident,in my group project,No,,Agree,analyze the question properly,Agree,"if it has departments like science, math, business then it is more helpful",
Marketing,First,Postgraduate,Female,Hispanic/Latino,25-34,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Exam Preparation",1 to 3 hours,Satisfied,Very Helpful,"Yes, significant improvement",Confident,helped me with correcting my english,Yes,Effective,Agree,inform references,Agree,language assistance,
Marketing,First,Postgraduate,Male,Hispanic/Latino,45-54,Visual,Yes,Daily,"Project research, Assignments, Tutoring or extra help, Exam Preparation",More than 5 hours,Satisfied,Neutral,"Yes, significant improvement",Confident,uploading a book and asking questions,Yes,Very effective,Agree,more memory,Disagree,integration between app and desktop profile,
Marketing,Second,Bachelors,Female,Asian,18-24,Visual,Yes,Weekly,"Homework assistance, Tutoring or extra help, Other",1 to 3 hours,Very satisfied,Very Helpful,"Yes, slight improvement",Very confident,times when I write essays and need better choices of words,Yes,Very effective,Neutral,no limit to amount of searches one can do,Strongly Agree,,
Marketing,Second,Postgraduate,Male,African,25-34,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes",1 to 3 hours,Satisfied,Very Helpful,"Yes, significant improvement",Very confident,Concept summarization,Yes,Very effective,Strongly Agree,school access to premium version,Strongly Agree,"citation, accuracy, human elements",
Marketing,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,when teachers cannot explain the concept,Yes,Very effective,Strongly Agree,have more reliable sources,Strongly Agree,more library references,stop having teachers that don't believe AI
Marketing,First,Postgraduate,Female,Pacific Islander,18-24,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,it helped me making mock ups for my digital marketing class,Yes,Neutral,Agree,to not monetize it so much just so it lives up to the accessibility goal,Agree,add photos for visual learners,
Marketing,First,Postgraduate,Male,Asian,25-34,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,,No,,Neutral,,Agree,,
Business,Second,Postgraduate,Male,Asian,25-34,Visual,Yes,Weekly,Understanding concepts,1 to 3 hours,Very dissatisfied,Helpful,"Yes, slight improvement",Neutral,saved time in analyzing data,No,,Agree,use language suited for business answer,Agree,student access,
Marketing,First,Diploma,Male,Asian,25-34,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,"When I don’t understand the concepts in text books, I use chatgpt to explain more",Yes,Effective,Agree,Able to provide images,Strongly Agree,,
Accounting,Fourth,Bachelors,Female,White/Caucasian,25-34,Visual,Yes,Never,Other,Less than 1 hour,,,,,,,,,,Strongly disagree,,
Marketing,Second,Bachelors,Female,Asian,18-24,Visual,Yes,Weekly,Understanding concepts,Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Confident,"the notes were difficult to understand, chatgpt assisted with summarizing",Yes,Neutral,Neutral,,Agree,more real info such as referencing articles and science based research,
Marketing,Second,Diploma,Male,Asian,18-24,Visual,Yes,Daily,Understanding concepts,3 to 5 hours,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,I ask chatgpt to make a question for the class/upload all the ppt and make questions from it,Yes,Effective,Agree,support in japanese language,Strongly Agree,,
Business,Second,Postgraduate,Female,Hispanic/Latino,35-44,Visual,Yes,Daily,Understanding concepts,Less than 1 hour,Satisfied,Helpful,No change,Neutral,explain a concept and give me examples,No,,Neutral,,Agree,graphs and images,
Business,First,Diploma,Female,Hispanic/Latino,25-34,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Tutoring or extra help",Less than 1 hour,Satisfied,Very Helpful,"Yes, slight improvement",Very confident,giving me more examples to understand,No,,Neutral,,Neutral,,
Marketing,Third,Bachelors,Female,Asian,18-24,Visual,Yes,Monthly,Assignments,Less than 1 hour,Neutral,Helpful,"Yes, significant improvement",Confident,good for answer and explain questions,Yes,Neutral,Neutral,,Agree,"add 2, 3 files at the same time including pictures",
Marketing,First,Postgraduate,Female,Prefer not to say,25-34,Visual,Yes,Weekly,"Homework assistance, Project research",Less than 1 hour,Neutral,Neutral,No change,Confident,,No,,Disagree,,Neutral,,
Business,Second,Diploma,Female,Asian,25-34,Visual,Yes,Weekly,"Understanding concepts, Project research, Assignments",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,concepts,No,,Neutral,,Agree,more visual aids,
Business,Second,Postgraduate,Female,Asian,25-34,Visual,Yes,Daily,"Understanding concepts, Homework assistance, Tutoring or extra help",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Confident,,Yes,Effective,Agree,,Agree,,
Marketing,First,Diploma,Female,Asian,25-34,Visual,Yes,Rarely,"Understanding concepts, Project research",Less than 1 hour,Neutral,Neutral,No change,Neutral,When I needed a list of possible blog titles,No,,Disagree,,Neutral,,
Marketing,First,Postgraduate,Female,Asian,18-24,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Neutral,helped significantly when preparing ahead for class with a short lecture provided by chatgpt,No,,Neutral,provide referencing to the info it gave out,Agree,being able to read out the responses,
Business,Second,Postgraduate,Female,African,25-34,Visual,Yes,Weekly,"Understanding concepts, Homework assistance, Assignments, Tutoring or extra help",Less than 1 hour,Dissatisfied,Helpful,No change,Neutral,whenever I need help starting projects,No,,Neutral,better quality of answers,Neutral,,
